"Country, Count"
"Austria,  20"
"Belarus,  3"
"Belgium,  65"
"Brazil,  33"
"Bulgaria,  14"
"CERN,  98"
"China,  47"
"Colombia,  7"
"Croatia,  12"
"Cyprus,  11"
"Czechia,  3"
"Egypt,  4"
"Estonia,  10"
"Finland,  23"
"France,  80"
"Georgia,  3"
"Germany,  188"
"Greece,  32"
"Hungary,  29"
"India,  73"
"Iran, Islamic Republic of,  7"
"Italy,  262"
"Korea, Republic of,  62"
"Lithuania,  5"
"Mexico,  21"
"Pakistan,  7"
"Poland,  15"
"Portugal,  12"
"Russian Federation,  104"
"Serbia,  4"
"Spain,  60"
"Sri Lanka,  8"
"Switzerland,  69"
"Taiwan, Province of China,  19"
"Thailand,  3"
"Turkey,  42"
"United Kingdom,  79"
"United States,  669"
"restricted,  16"
