country,count,user
Algeria,0,2
Arab Emirates,0,1
Argentina,0,15
Armenia,0,13
Australia,2,30
Austria,5,96
Azerbaijan,0,4
Bangladesh,0,2
Belarus,1,22
Belgium,8,152
Brazil,9,120
Bulgaria,3,41
Canada,14,198
Chile,1,19
China,10,327
Colombia,2,24
Croatia,1,28
Cuba,0,3
Cyprus,0,16
Czech Republic,9,258
Denmark,4,56
Ecuador,1,3
Egypt,0,3
Estonia,0,19
Finland,2,116
France,55,834
Georgia,1,32
Germany,60,1373
Greece,4,133
Hong Kong,0,20
Hungary,6,63
Iceland,0,3
India,7,207
Indonesia,0,7
Iran,2,17
Israel,2,73
Italy,72,1582
Japan,3,258
Latvia,0,2
Lebanon,0,16
Lithuania,1,23
Madagascar,0,2
Malaysia,0,9
Malta,0,5
Mexico,1,59
Mongolia,0,2
Montenegro,0,7
Morocco,0,14
Netherlands,10,179
New Zealand,2,7
Norway,5,89
Oman,0,4
Pakistan,0,37
Peru,0,3
Poland,9,304
Portugal,7,97
Republic of Korea,7,157
Romania,4,106
Russia,18,1040
Serbia,0,37
Singapore,0,4
Slovakia,5,86
Slovenia,3,19
South Africa,5,69
Spain,15,375
Sri Lanka,0,8
Sweden,7,104
Switzerland,21,280
Taiwan,0,57
Thailand,0,18
Turkey,3,117
UK,51,952
Ukraine,3,34
USA,107,1998
Venezuela,1,0
